,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
1,ltl10,i_02ch,ii_la,la_ff_final,iii_gbrt,0.001,1.000,0.200,0.576,0.200,0.702,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [65], 'max_leaf_nodes': [38], 'n_estimators': [800]}"
2,ltl10,i_02ch,ii_rf,rf_ff_final,iii_gbrt,0.001,1.000,0.200,0.576,0.200,0.702,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [65], 'max_leaf_nodes': [38], 'n_estimators': [800]}"
3,ltl10,i_02ch,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.055,0.971,0.200,0.538,0.200,0.697,"{'learning_rate': [0.08], 'max_depth': [12], 'n_estimators': [890], 'num_leaves': [20]}"
4,ltl10,i_02ch,ii_corr,200,iii_gbrt,0.014,0.998,0.200,0.589,0.200,0.692,"{'learning_rate': [0.09], 'max_depth': [10], 'max_features': [50], 'max_leaf_nodes': [20], 'n_estimators': [550]}"
5,ltl10,i_02cn,ii_random,des_random_0,iii_gbrt,0.051,0.975,0.200,0.536,0.200,0.689,"{'learning_rate': [0.075], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [540]}"
6,ltl10,i_02cn,ii_rf,rf_ff_final,iii_gbrt,0.001,1.000,0.200,0.604,0.200,0.681,"{'learning_rate': [0.079], 'max_depth': [8], 'max_features': [25], 'max_leaf_nodes': [36], 'n_estimators': [1160]}"
7,ltl10,i_01cg,ii_random,des_random_0,iii_gbrt,0.001,1.000,0.200,0.508,0.200,0.672,"{'learning_rate': [0.13], 'max_depth': [8], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [260]}"
8,ltl10,i_01cn,ii_corr,100,iii_gbrt,0.014,0.998,0.200,0.553,0.200,0.652,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [20], 'n_estimators': [280]}"
9,ltl10,i_01cn,ii_random,des_random_5,iii_gbrt,0.006,1.000,0.200,0.589,0.200,0.650,"{'learning_rate': [0.062], 'max_depth': [8], 'max_features': [25], 'max_leaf_nodes': [32], 'n_estimators': [280]}"
10,ltl10,i_01cg,ii_random,des_random_7,iii_gbrt,0.003,1.000,0.200,0.492,0.200,0.649,"{'learning_rate': [0.02], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [22], 'n_estimators': [2110]}"
11,ltl10,i_01cg,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.003,1.000,0.200,0.493,0.200,0.647,"{'learning_rate': [0.071], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [860]}"
12,ltl10,i_01cg,ii_random,des_random_4,iii_gbrt,0.012,0.999,0.200,0.486,0.200,0.645,"{'learning_rate': [0.051], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [16], 'n_estimators': [550]}"
13,ltl10,i_01cn,ii_random,des_random_4,iii_gbrt,0.000,1.000,0.200,0.589,0.200,0.641,"{'learning_rate': [0.09], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [48], 'n_estimators': [290]}"
14,ltl10,i_01cn,ii_corr,80,iii_gbrt,0.009,0.999,0.200,0.575,0.200,0.637,"{'learning_rate': [0.071], 'max_depth': [8], 'max_features': [25], 'max_leaf_nodes': [24], 'n_estimators': [300]}"
15,ltl10,i_01cg,ii_random,des_random_2,iii_gbrt,0.002,1.000,0.200,0.452,0.200,0.637,"{'learning_rate': [0.14], 'max_depth': [6], 'max_features': [55], 'max_leaf_nodes': [20], 'n_estimators': [300]}"
16,ltl10,i_02ch,ii_random,des_random_2,iii_lgbm,0.108,0.888,0.200,0.472,0.200,0.629,"{'learning_rate': [0.084], 'max_depth': [12], 'n_estimators': [560], 'num_leaves': [20]}"
17,ltl10,i_02ch,ii_corr,80,iii_gbrt,0.069,0.954,0.200,0.562,0.200,0.625,"{'learning_rate': [0.068], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [14], 'n_estimators': [350]}"
18,ltl10,i_01cn,ii_corr,60,iii_gbrt,0.008,0.999,0.200,0.545,0.200,0.625,"{'learning_rate': [0.089], 'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [24], 'n_estimators': [280]}"
19,ltl10,i_02cn,ii_random,des_random_4,iii_gbrt,0.116,0.872,0.200,0.523,0.200,0.623,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [300]}"
